,forecasted_price
2025-10-01,15359.41014518426
2025-11-01,15535.982542612965
2025-12-01,16142.67934409733
2026-01-01,15985.291717979484
2026-02-01,15896.717755865962
2026-03-01,16467.456943777226
2026-04-01,16348.398061605327
2026-05-01,16469.711391183
2026-06-01,15925.113997556125
2026-07-01,16006.695565955435
2026-08-01,16064.718567810285
2026-09-01,16200.680883793206
